customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUS00011,Male,0,Yes,Yes,29,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),114.74,3332.32,No
CUS00012,Male,0,Yes,No,67,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,No,Electronic check,94.28,6322.27,No
CUS00013,Male,0,No,No,57,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),51.24,2917.18,No
CUS00014,Male,0,No,Yes,54,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),60.43,3261.63,No
CUS00015,Female,0,Yes,No,13,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),81.27,1040.01,No
CUS00016,Male,0,Yes,No,36,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,93.4,3358.06,No
CUS00017,Female,0,Yes,Yes,43,Yes,Yes,DSL,No,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),93.31,4028.24,Yes
CUS00018,Female,0,No,Yes,5,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,82.68,396.78,Yes
CUS00019,Female,1,Yes,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,29.55,737.12,Yes
CUS00020,Male,0,No,No,13,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,104.09,1340.41,Yes
CUS00021,Female,1,Yes,No,7,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),45.11,309.38,Yes
CUS00022,Male,0,Yes,No,23,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,35.87,797.92,No
CUS00023,Female,0,Yes,Yes,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),39.57,1507.32,Yes
CUS00024,Female,1,Yes,No,48,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,No,Mailed check,22.31,1075.32,No
CUS00025,Female,0,No,No,62,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),92.2,5693.79,No
CUS00026,Female,0,No,No,25,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,23.47,580.91,No
CUS00027,Female,0,No,No,9,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),22.45,201.76,No
CUS00028,Female,0,No,Yes,57,Yes,Yes,DSL,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,18.41,1060.95,No
CUS00029,Female,0,No,No,13,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Mailed check,18.73,234.72,No
CUS00030,Female,0,No,Yes,72,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,86.59,6222.22,Yes
CUS00031,Male,0,Yes,Yes,70,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),68.03,4752.38,No
CUS00032,Male,0,Yes,No,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,85.82,3272.33,No
CUS00033,Female,0,Yes,Yes,30,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Mailed check,41.54,1240.59,No
CUS00034,Female,0,No,No,49,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),90.56,4425.69,Yes
CUS00035,Female,0,Yes,Yes,15,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,49.56,730.69,Yes
CUS00036,Male,0,No,Yes,71,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),68.21,4872.08,No
CUS00037,Female,1,Yes,No,50,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,104.93,5258.36,No
CUS00038,Male,0,No,Yes,14,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),24.75,347.2,No
CUS00039,Male,1,Yes,Yes,37,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),104.2,3858.19,No
CUS00040,Male,0,Yes,No,70,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),51.57,3621.35,No
CUS00041,Male,0,No,Yes,71,No,No phone service,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Mailed check,42.94,3003.67,No
CUS00042,Male,0,Yes,Yes,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,103.56,2046.83,No
CUS00043,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,88.1,1312.29,No
CUS00044,Female,0,Yes,Yes,66,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),48.0,3166.64,No
CUS00045,Female,0,Yes,No,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),88.28,5626.87,No
CUS00046,Female,0,No,Yes,12,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,109.05,1331.1,No
CUS00047,Female,1,No,Yes,63,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),105.73,6683.2,No
CUS00048,Male,0,Yes,No,60,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,99.28,5943.74,No
CUS00049,Female,0,No,No,31,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,No,Credit card (automatic),118.42,3684.62,No
CUS00050,Female,0,No,Yes,11,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,35.22,405.09,No
CUS00051,Male,0,No,No,40,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,93.57,3719.97,No
CUS00052,Female,0,Yes,Yes,65,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,47.84,3119.87,Yes
CUS00053,Male,0,Yes,Yes,7,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),111.9,828.58,Yes
CUS00054,Female,1,No,No,58,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Mailed check,26.34,1547.58,No
CUS00055,Male,0,No,Yes,24,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),85.35,2051.1,Yes
CUS00056,Female,0,No,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Electronic check,38.55,161.14,No
CUS00057,Female,0,Yes,Yes,44,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,117.8,5184.66,Yes
CUS00058,Male,0,Yes,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),70.47,72.06,No
CUS00059,Male,0,No,No,41,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),71.83,2931.21,No
CUS00060,Male,0,Yes,No,37,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,71.25,2662.68,Yes
CUS00061,Male,0,Yes,Yes,2,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),94.51,195.72,Yes
CUS00062,Male,0,Yes,No,45,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,115.88,5224.44,No
CUS00063,Male,0,No,No,21,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),114.79,2397.26,Yes
CUS00064,Male,0,Yes,No,32,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,No,Electronic check,41.7,1342.82,No
CUS00065,Male,0,No,No,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,74.4,2328.43,No
CUS00066,Female,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,73.11,1146.1,No
CUS00067,Female,0,No,No,55,Yes,No,DSL,No,No,No,Yes,No,No,One year,Yes,Electronic check,30.77,1700.81,No
CUS00068,Male,1,Yes,No,2,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,88.31,165.75,No
CUS00069,Female,1,Yes,No,69,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),94.54,6507.42,No
CUS00070,Female,0,No,No,48,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Mailed check,105.62,5071.43,No
CUS00071,Female,0,No,Yes,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,92.17,4954.55,No
CUS00072,Female,0,No,No,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),30.18,895.12,No
CUS00073,Male,0,No,No,20,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),110.61,2205.07,Yes
CUS00074,Female,1,No,No,15,Yes,No,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Mailed check,39.45,603.39,No
CUS00075,Male,0,No,Yes,16,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,79.51,1297.77,Yes
CUS00076,Female,1,Yes,No,0,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),83.06,16.65,No
CUS00077,Female,1,Yes,No,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,33.53,2424.08,Yes
CUS00078,Female,0,No,No,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,52.75,3397.32,No
CUS00079,Male,0,Yes,No,65,Yes,No,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,48.38,3140.7,No
CUS00080,Female,0,No,No,36,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Mailed check,89.58,3184.78,No
CUS00081,Male,1,Yes,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,81.06,1882.22,No
CUS00082,Female,0,No,Yes,61,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,60.7,3691.99,No
CUS00083,Male,1,Yes,Yes,20,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,34.87,688.04,No
CUS00084,Female,0,Yes,Yes,36,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,92.52,3314.22,No
CUS00085,Male,0,No,Yes,34,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Mailed check,112.61,3790.48,No
CUS00086,Male,1,Yes,No,37,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Bank transfer (automatic),76.24,2822.14,No
CUS00087,Female,0,Yes,No,52,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,109.91,5719.33,No
CUS00088,Male,0,Yes,No,14,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,No,Electronic check,99.76,1399.82,No
CUS00089,Female,0,No,No,41,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,No,Credit card (automatic),113.74,4689.91,No
CUS00090,Female,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,52.35,109.9,No
CUS00091,Female,0,No,No,38,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,81.78,3132.44,Yes
CUS00092,Female,0,Yes,No,22,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),41.21,918.46,No
CUS00093,Female,1,No,Yes,14,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),92.41,1283.35,Yes
CUS00094,Female,1,Yes,No,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),117.16,1285.18,Yes
CUS00095,Female,0,No,Yes,69,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),50.57,3496.29,No
CUS00096,Female,0,No,No,53,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),24.84,1325.95,No
CUS00097,Female,0,No,No,37,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Credit card (automatic),116.07,4277.52,No
CUS00098,Female,0,No,No,27,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,21.38,577.13,Yes
CUS00099,Female,1,No,Yes,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,54.85,974.66,No
CUS00100,Male,0,No,No,68,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.5,5064.15,No
CUS00101,Male,0,Yes,No,63,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),96.83,6084.46,No
CUS00102,Female,0,No,Yes,3,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Electronic check,40.01,121.56,No
CUS00103,Female,0,Yes,Yes,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,23.68,202.22,No
CUS00104,Female,0,Yes,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),88.29,978.16,No
CUS00105,Female,0,Yes,Yes,68,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,No,Electronic check,28.01,1876.33,No
CUS00106,Female,0,Yes,No,6,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,No,Electronic check,42.76,237.12,No
CUS00107,Female,0,Yes,No,43,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,45.16,1958.1,Yes
CUS00108,Female,0,No,No,22,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),102.45,2270.43,Yes
CUS00109,Female,0,Yes,Yes,1,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),76.49,106.27,Yes
CUS00110,Male,0,Yes,No,36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),63.64,2276.94,No
CUS00111,Female,0,No,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.83,1353.94,Yes
CUS00112,Male,0,Yes,Yes,19,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,69.32,1300.63,Yes
CUS00113,Female,0,No,Yes,43,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),89.87,3854.13,No
CUS00114,Female,0,No,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),116.4,8052.92,No
CUS00115,Male,0,No,No,50,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Credit card (automatic),66.77,3346.42,No
CUS00116,Female,1,No,No,30,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.22,2235.78,No
CUS00117,Male,1,Yes,Yes,40,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),50.55,1982.13,No
CUS00118,Female,0,Yes,No,57,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,100.23,5727.05,No
CUS00119,Female,1,Yes,No,4,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,72.55,302.98,Yes
CUS00120,Male,0,No,No,32,Yes,No,DSL,Yes,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),56.05,1783.33,No
CUS00121,Female,0,Yes,No,42,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),29.96,1238.22,Yes
CUS00122,Male,0,Yes,Yes,18,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),107.88,1927.69,No
CUS00123,Female,0,Yes,Yes,31,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,98.79,3059.11,No
CUS00124,Male,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,39.08,91.79,No
CUS00125,Male,0,Yes,Yes,0,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),106.2,2.64,No
CUS00126,Female,0,No,No,40,Yes,No,DSL,No,No,No,No,No,No,One year,No,Electronic check,74.26,2978.74,No
CUS00127,Female,0,Yes,No,47,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,95.69,4465.37,Yes
CUS00128,Male,0,Yes,No,38,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Electronic check,83.7,3209.06,No
CUS00129,Female,1,Yes,No,4,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),25.3,91.41,Yes
CUS00130,Female,0,No,No,10,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),43.25,426.54,No
CUS00131,Female,0,No,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,60.74,1263.94,No
CUS00132,Male,0,Yes,No,63,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,Yes,Mailed check,29.47,1858.86,No
CUS00133,Male,0,Yes,No,11,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),55.71,633.93,Yes
CUS00134,Male,0,No,No,52,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),21.87,1131.68,No
CUS00135,Male,0,Yes,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,107.05,5777.91,No
CUS00136,Male,0,Yes,Yes,52,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,No,Electronic check,22.59,1191.5,No
CUS00137,Male,0,Yes,Yes,20,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Mailed check,73.36,1471.97,No
CUS00138,Male,0,Yes,No,18,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),87.55,1532.31,No
CUS00139,Male,0,Yes,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),47.68,3229.09,No
CUS00140,Male,0,Yes,No,71,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Mailed check,18.46,1326.79,No
CUS00141,Female,0,Yes,No,65,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,73.92,4818.35,No
CUS00142,Male,0,No,Yes,58,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),64.98,3775.39,Yes
CUS00143,Female,0,Yes,No,48,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),37.03,1767.37,No
CUS00144,Female,1,No,No,58,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,27.51,1605.85,No
CUS00145,Female,1,Yes,No,22,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),98.43,2144.39,Yes
CUS00146,Male,1,No,No,2,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,No,Electronic check,37.85,55.82,No
CUS00147,Male,0,Yes,No,55,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),60.96,3334.71,Yes
CUS00148,Male,0,No,No,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,97.43,5497.38,No
CUS00149,Male,0,Yes,No,61,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),110.25,6740.5,No
CUS00150,Female,0,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,58.3,981.89,No
CUS00151,Male,0,Yes,No,60,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),65.07,3904.71,No
CUS00152,Male,0,Yes,Yes,36,Yes,Yes,DSL,No,No,No,No,No,Yes,Two year,No,Mailed check,89.66,3213.16,Yes
CUS00153,Male,1,No,No,53,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Mailed check,33.64,1805.52,No
CUS00154,Male,0,No,No,64,Yes,No,DSL,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),102.64,6558.35,No
CUS00155,Male,1,Yes,No,13,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Electronic check,45.59,549.11,No
CUS00156,Female,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,60.08,215.44,No
CUS00157,Male,0,Yes,No,61,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,112.56,6860.76,Yes
CUS00158,Female,0,Yes,No,0,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,No,Mailed check,115.75,10.29,No
CUS00159,Male,0,No,No,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),61.81,3872.18,No
CUS00160,Female,0,Yes,No,66,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Electronic check,45.27,3022.58,No
CUS00161,Male,0,No,Yes,19,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,32.03,619.82,No
CUS00162,Male,0,Yes,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),33.88,1395.74,No
CUS00163,Female,0,No,Yes,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,69.53,2851.97,No
CUS00164,Female,1,No,Yes,68,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,87.17,5919.96,No
CUS00165,Female,0,No,No,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,54.72,2041.32,No
CUS00166,Male,1,No,No,61,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,42.27,2596.28,Yes
CUS00167,Female,0,Yes,Yes,47,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,18.56,869.64,No
CUS00168,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),47.44,232.97,Yes
CUS00169,Male,0,Yes,No,41,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),81.54,3337.64,No
CUS00170,Female,0,No,Yes,57,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),92.72,5298.5,No
CUS00171,Female,0,No,No,42,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,100.13,4198.08,Yes
CUS00172,Male,0,No,No,9,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,70.73,614.99,No
CUS00173,Male,0,No,No,38,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),110.95,4239.24,No
CUS00174,Female,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,97.57,1145.28,Yes
CUS00175,Female,0,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,97.29,3697.36,No
CUS00176,Female,0,Yes,No,10,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,No,Electronic check,20.0,233.55,Yes
CUS00177,Male,0,No,No,15,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,23.16,339.84,No
CUS00178,Male,0,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),95.17,3017.79,No
